yyyyq,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx,D3,E3
20123,"1,440.67",29.590,86.500,0.3403829538,0.0011,0.0349,0.0484,0.0226,-0.0119466412,-0.0181530818,0.0002750000,0.0084060346,0.0028731522,0.0380840714,0.0033246741,NaN,0.0343928519,0.0634940059,0.0576261080,7.771,21.210
20124,"1,426.19",31.247,86.510,0.3490324432,0.0007,0.0365,0.0463,0.0241,-0.0248435850,-0.0122580261,0.0001750000,-0.0078044312,-0.0074823528,0.0049409750,0.0038638886,NaN,0.0344434680,-0.0042052517,-0.0113134242,8.935,20.650
20131,"1,569.19",32.112,87.700,0.3461299966,0.0009,0.0393,0.0485,0.0284,-0.0140982743,-0.0095498380,0.0002250000,0.0138152708,-0.0282409734,-0.0240509660,0.0026340346,NaN,0.0345619515,0.1061219989,0.1003324323,7.954,24.220
20132,"1,606.28",33.266,90.950,0.3384443580,0.0005,0.0427,0.0519,0.0329,-0.0222345797,0.0001455983,0.0001250000,0.0031403986,-0.0551945078,-0.0569074693,0.0049459307,NaN,0.0343269266,0.0290061473,0.0234389819,8.606,24.870
20133,"1,681.55",34.404,94.370,0.3335214846,0.0002,0.0464,0.0547,0.0342,-0.0211661524,0.0101437780,0.0000500000,0.0027622653,-0.0191162163,-0.0029289921,0.0020747441,NaN,0.0345904159,0.0522777487,0.0466373774,8.909,24.630
20134,"1,848.36",34.992,100.200,0.3044081256,0.0007,0.0462,0.0538,0.0367,-0.0193374224,0.0121685290,0.0001750000,-0.0046978633,-0.0315722669,0.0125210037,0.0028283148,NaN,0.0349634450,0.1064981973,0.1006292641,9.523,26.480
20141,"1,872.34",36.228,100.850,0.3506160657,0.0005,0.0438,0.0506,0.0331,-0.0295499267,0.0164630726,0.0001250000,0.0139198194,0.0692999348,0.0569689077,0.0034261958,NaN,0.0350767256,0.0176373584,0.0124953318,9.190,24.870
20142,"1,960.23",37.381,103.120,0.3429284585,0.0004,0.0425,0.0480,0.0307,-0.0268317879,0.0139312308,0.0001000000,0.0086756696,0.0438887275,0.0371710016,0.0021998559,NaN,0.0355333179,0.0512711870,0.0459463653,9.759,27.140
20143,"1,972.29",38.495,105.960,0.3385761813,0.0002,0.0411,0.0480,0.0295,-0.0246002217,0.0080240880,0.0000500000,-0.0013090378,0.0250825544,0.0099533246,0.0022163315,NaN,0.0359018398,0.0109675138,0.0057948762,10.023,27.470
20144,"2,058.90",39.443,102.310,0.3237556717,0.0003,0.0379,0.0474,0.0240,-0.0288287370,0.0056560064,0.0000750000,-0.0135234486,0.0901822820,0.0592247133,0.0050870677,NaN,0.0356894966,0.0496631181,0.0440774101,10.472,22.830
20151,"2,067.89",40.807,99.250,0.3074540451,0.0003,0.0364,0.0454,0.0223,-0.0396368810,-0.0068998347,0.0000750000,0.0055661551,0.0287959494,0.0319339026,0.0047605471,NaN,0.0351556238,0.0105189320,0.0051855857,10.553,21.810
20152,"2,063.11",41.742,94.910,0.3101868327,0.0002,0.0419,0.0513,0.0261,-0.0388015243,-0.0080982771,0.0000500000,0.0106683494,-0.0690955255,-0.0728932374,0.0025134771,NaN,0.0349763012,0.0019725117,-0.0031769455,10.695,22.800
20153,"1,920.03",42.510,90.660,0.3356119548,0.0002,0.0407,0.0534,0.0240,-0.0355783237,-0.0129888187,0.0000500000,-0.0029039801,0.0521335070,0.0305665003,0.0110602537,NaN,0.0347238275,-0.0636320864,-0.0687004592,10.791,23.220
20154,"2,043.94",43.388,86.530,0.3136488144,0.0023,0.0397,0.0546,0.0243,-0.0366633082,-0.0216044089,0.0005750000,-0.0059677657,-0.0139396658,0.0040040000,0.0055761880,NaN,0.0340493027,0.0705284068,0.0644408695,11.349,18.700
20161,"2,059.74",43.876,86.440,0.3279547913,0.0029,0.0382,0.0513,0.0218,-0.0353069030,-0.0229933986,0.0007250000,0.0067942078,0.0780759202,0.0736267851,0.0081769320,NaN,0.0336420256,0.0131655917,0.0071136124,11.041,21.720
20162,"2,098.86",44.460,86.920,0.3234753617,0.0027,0.0350,0.0453,0.0179,-0.0280268690,-0.0286768353,0.0006750000,0.0121193288,0.0620250759,0.0545349807,0.0046777977,NaN,0.0336687697,0.0250379320,0.0195234623,11.279,23.280
20163,"2,168.27",45.026,89.090,0.3167938869,0.0029,0.0341,0.0431,0.0196,-0.0294651211,-0.0325444332,0.0007250000,0.0017011178,-0.0183388338,0.0139281435,0.0024299177,NaN,0.0337542685,0.0383264912,0.0328106910,11.357,25.390
20164,"2,238.83",45.701,94.550,0.2934790969,0.0051,0.0406,0.0483,0.0272,-0.0301740303,-0.0250115072,0.0012750000,0.0000165681,-0.0946094509,-0.0705068563,0.0018344591,NaN,0.0334616271,0.0367193174,0.0309673998,12.024,24.160
20171,"2,362.72",46.382,100.290,0.2815988893,0.0074,0.0401,0.0468,0.0274,-0.0335683636,-0.0161490996,0.0018500000,0.0098122867,0.0139866744,0.0127373360,0.0011347973,NaN,0.0339468865,0.0613710608,0.0560995415,11.723,27.460
20172,"2,423.41",47.219,104.020,0.2725452275,0.0098,0.0368,0.0437,0.0258,-0.0340129656,-0.0097025667,0.0024500000,0.0047333686,0.0294985709,0.0518362158,0.0013411859,NaN,0.0342457098,0.0312417929,0.0259292146,12.115,27.010
20173,"2,519.36",48.173,107.080,0.2597061668,0.0103,0.0363,0.0430,0.0259,-0.0380509189,-0.0110122584,0.0025750000,0.0076095609,0.0050864696,0.0176126503,0.0012694795,NaN,0.0342203150,0.0434910730,0.0379267369,12.311,28.450
20174,"2,673.61",48.932,109.880,0.2353933431,0.0132,0.0351,0.0422,0.0254,-0.0340259764,-0.0199003710,0.0033000000,-0.0011952078,0.0125187323,0.0354613491,0.0008175738,NaN,0.0343111913,0.0680820432,0.0628984257,12.783,26.960
20181,"2,640.87",50.0030,115.4400,0.2473535337,0.0170,0.0387,0.0464,0.0285,-0.0374092675,-0.0182483062,0.0042500000,0.0122908926,-0.0286721350,-0.0431194187,0.0093826302,NaN,0.0349336167,-0.0077102672,-0.0124475248,12.794,33.020
20182,"2,718.37",50.9903,122.4800,0.2456383635,0.0190,0.0396,0.0483,0.0291,-0.0326380518,-0.0221277827,0.0047500000,0.0097574072,-0.0008913932,-0.0186021280,0.0039082617,NaN,0.0353205929,0.0346889185,0.0296689491,13.103,34.050
20183,"2,913.98",52.3390,130.3900,0.2253352324,0.0213,0.0398,0.0488,0.0334,-0.0313098321,-0.0208705049,0.0053250000,0.0017857922,-0.0499975856,0.0037670770,0.0013557387,NaN,0.0351783200,0.0768098165,0.0717318620,13.660,36.360
20184,"2,506.85",53.7482,132.3900,0.2555781655,0.0237,0.0402,0.0513,0.0284,-0.0237518312,-0.0192174493,0.0059250000,-0.0047773918,0.0785680574,0.0106297848,0.0142082589,NaN,0.0352869797,-0.1361959782,-0.1407650707,14.192,28.960
